Month,WW Search
2013-06,5
2013-07,6
2013-08,4
2013-09,5
2013-10,5
2013-11,6
2013-12,5
2014-01,5
2014-02,7
2014-03,8
2014-04,8
2014-05,8
2014-06,8
2014-07,9
2014-08,9
2014-09,9
2014-10,8
2014-11,9
2014-12,10
2015-01,10
2015-02,9
2015-03,10
2015-04,10
2015-05,13
2015-06,14
2015-07,16
2015-08,14
2015-09,14
2015-10,12
2015-11,15
2015-12,19
2016-01,17
2016-02,18
2016-03,18
2016-04,18
2016-05,27
2016-06,25
2016-07,23
2016-08,20
2016-09,21
2016-10,30
2016-11,25
2016-12,30
2017-01,28
2017-02,37
2017-03,37
2017-04,35
2017-05,42
2017-06,40
2017-07,40
2017-08,35
2017-09,44
2017-10,42
2017-11,45
2017-12,60
2018-01,54
2018-02,49
2018-03,49
2018-04,54
2018-05,73
2018-06,63
2018-07,50
2018-08,62
2018-09,60
2018-10,60
2018-11,59
2018-12,60
2019-01,57
2019-02,56
2019-03,53
2019-04,70
2019-05,66
2019-06,69
2019-07,60
2019-08,56
2019-09,44
2019-10,45
2019-11,45
2019-12,54
2020-01,56
2020-02,60
2020-03,55
2020-04,61
2020-05,60
2020-06,79
2020-07,65
2020-08,83
2020-09,80
2020-10,80
2020-11,77
2020-12,79
2021-01,70
2021-02,66
2021-03,71
2021-04,75
2021-05,91
2021-06,100
2021-07,85
2021-08,79
2021-09,84
2021-10,76
2021-11,72
2021-12,82
2022-01,67
2022-02,68
2022-03,67
2022-04,75
2022-05,64
2022-06,79
2022-07,80
2022-08,52
2022-09,48
2022-10,55
2022-11,47
2022-12,46
2023-01,45
2023-02,44
2023-03,38
2023-04,39
2023-05,38
2023-06,43
2023-07,36
2023-08,30
2023-09,30
2023-10,28
2023-11,27
2023-12,31
2024-01,26
2024-02,24
2024-03,24
2024-04,25
2024-05,25
2024-06,28
2024-07,23
2024-08,23
2024-09,18
2024-10,18
2024-11,17
2024-12,20
2025-01,19
2025-02,17
2025-03,18
2025-04,19
2025-05,17
2025-06,25
2025-07,22
2025-08,21
2025-09,22
2025-10,19

2025-11,17
