Month,J-Hope
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,3
2014-10,3
2014-11,4
2014-12,4
2015-01,3
2015-02,5
2015-03,3
2015-04,3
2015-05,4
2015-06,5
2015-07,6
2015-08,6
2015-09,5
2015-10,5
2015-11,5
2015-12,10
2016-01,9
2016-02,12
2016-03,8
2016-04,8
2016-05,11
2016-06,11
2016-07,11
2016-08,11
2016-09,11
2016-10,13
2016-11,12
2016-12,17
2017-01,15
2017-02,22
2017-03,18
2017-04,20
2017-05,19
2017-06,22
2017-07,21
2017-08,20
2017-09,19
2017-10,20
2017-11,22
2017-12,29
2018-01,30
2018-02,50
2018-03,55
2018-04,28
2018-05,30
2018-06,34
2018-07,33
2018-08,35
2018-09,29
2018-10,28
2018-11,27
2018-12,31
2019-01,35
2019-02,53
2019-03,26
2019-04,29
2019-05,32
2019-06,35
2019-07,30
2019-08,30
2019-09,34
2019-10,27
2019-11,22
2019-12,26
2020-01,27
2020-02,49
2020-03,29
2020-04,36
2020-05,39
2020-06,39
2020-07,38
2020-08,46
2020-09,42
2020-10,40
2020-11,40
2020-12,44
2021-01,53
2021-02,86
2021-03,39
2021-04,42
2021-05,52
2021-06,49
2021-07,51
2021-08,46
2021-09,41
2021-10,42
2021-11,38
2021-12,49
2022-01,53
2022-02,100
2022-03,44
2022-04,41
2022-05,37
2022-06,42
2022-07,76
2022-08,49
2022-09,31
2022-10,29
2022-11,26
2022-12,31
2023-01,40
2023-02,71
2023-03,38
2023-04,53
2023-05,24
2023-06,24
2023-07,21
2023-08,21
2023-09,17
2023-10,14
2023-11,16
2023-12,17
2024-01,16
2024-02,32
2024-03,18
2024-04,19
2024-05,14
2024-06,16
2024-07,13
2024-08,13
2024-09,14
2024-10,23
2024-11,12
2024-12,13
2025-01,34
2025-02,37
2025-03,55
2025-04,34
2025-05,36
2025-06,43
2025-07,29
2025-08,20
2025-09,17
2025-10,20
2025-11,17
