Kategori: Tüm kategoriler

Ay,Jimin: (Dünya Genelinde)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,<1
2004-07,<1
2004-08,0
2004-09,0
2004-10,<1
2004-11,0
2004-12,<1
2005-01,<1
2005-02,0
2005-03,0
2005-04,0
2005-05,<1
2005-06,<1
2005-07,0
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,0
2006-07,0
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,1
2012-02,<1
2012-03,<1
2012-04,1
2012-05,1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,<1
2013-02,<1
2013-03,<1
2013-04,1
2013-05,<1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,3
2014-11,2
2014-12,4
2015-01,4
2015-02,4
2015-03,4
2015-04,4
2015-05,5
2015-06,6
2015-07,7
2015-08,7
2015-09,6
2015-10,7
2015-11,6
2015-12,10
2016-01,10
2016-02,10
2016-03,11
2016-04,11
2016-05,13
2016-06,14
2016-07,14
2016-08,13
2016-09,13
2016-10,19
2016-11,14
2016-12,19
2017-01,18
2017-02,20
2017-03,24
2017-04,26
2017-05,25
2017-06,32
2017-07,28
2017-08,26
2017-09,29
2017-10,35
2017-11,28
2017-12,37
2018-01,37
2018-02,35
2018-03,31
2018-04,33
2018-05,35
2018-06,37
2018-07,36
2018-08,34
2018-09,39
2018-10,49
2018-11,40
2018-12,43
2019-01,47
2019-02,41
2019-03,37
2019-04,39
2019-05,41
2019-06,41
2019-07,43
2019-08,41
2019-09,36
2019-10,41
2019-11,31
2019-12,36
2020-01,38
2020-02,36
2020-03,41
2020-04,48
2020-05,50
2020-06,51
2020-07,59
2020-08,54
2020-09,54
2020-10,77
2020-11,52
2020-12,60
2021-01,58
2021-02,54
2021-03,51
2021-04,54
2021-05,61
2021-06,65
2021-07,66
2021-08,63
2021-09,60
2021-10,100
2021-11,54
2021-12,61
2022-01,60
2022-02,59
2022-03,54
2022-04,63
2022-05,52
2022-06,51
2022-07,49
2022-08,42
2022-09,41
2022-10,56
2022-11,32
2022-12,36
2023-01,42
2023-02,36
2023-03,59
2023-04,51
2023-05,38
2023-06,34
2023-07,30
2023-08,28
2023-09,26
2023-10,32
2023-11,23
2023-12,27
2024-01,22
2024-02,19
2024-03,19
2024-04,17
2024-05,19
2024-06,21
2024-07,27
2024-08,24
2024-09,18
2024-10,22
2024-11,15
2024-12,16
2025-01,15
2025-02,13
2025-03,13
2025-04,13
2025-05,14
2025-06,20
2025-07,16
2025-08,20
2025-09,21
2025-10,20
2025-11,13
