Month,Kim Seok-Jin
2013-06,10
2013-07,10
2013-08,9
2013-09,9
2013-10,9
2013-11,10
2013-12,10
2014-01,9
2014-02,10
2014-03,11
2014-04,11
2014-05,11
2014-06,11
2014-07,11
2014-08,12
2014-09,11
2014-10,11
2014-11,11
2014-12,12
2015-01,11
2015-02,11
2015-03,10
2015-04,10
2015-05,12
2015-06,12
2015-07,13
2015-08,14
2015-09,13
2015-10,12
2015-11,13
2015-12,17
2016-01,17
2016-02,16
2016-03,16
2016-04,16
2016-05,18
2016-06,19
2016-07,18
2016-08,16
2016-09,17
2016-10,20
2016-11,9
2016-12,14
2017-01,10
2017-02,10
2017-03,13
2017-04,15
2017-05,17
2017-06,20
2017-07,20
2017-08,16
2017-09,16
2017-10,17
2017-11,18
2017-12,34
2018-01,29
2018-02,26
2018-03,28
2018-04,26
2018-05,29
2018-06,38
2018-07,32
2018-08,30
2018-09,28
2018-10,28
2018-11,30
2018-12,45
2019-01,33
2019-02,32
2019-03,30
2019-04,32
2019-05,35
2019-06,46
2019-07,36
2019-08,31
2019-09,26
2019-10,25
2019-11,27
2019-12,45
2020-01,29
2020-02,29
2020-03,35
2020-04,39
2020-05,44
2020-06,40
2020-07,40
2020-08,47
2020-09,46
2020-10,47
2020-11,52
2020-12,78
2021-01,52
2021-02,47
2021-03,49
2021-04,52
2021-05,50
2021-06,59
2021-07,58
2021-08,56
2021-09,52
2021-10,55
2021-11,62
2021-12,99
2022-01,51
2022-02,49
2022-03,57
2022-04,53
2022-05,45
2022-06,48
2022-07,42
2022-08,40
2022-09,35
2022-10,58
2022-11,52
2022-12,100
2023-01,41
2023-02,34
2023-03,31
2023-04,31
2023-05,28
2023-06,26
2023-07,23
2023-08,22
2023-09,20
2023-10,20
2023-11,22
2023-12,35
2024-01,20
2024-02,18
2024-03,17
2024-04,17
2024-05,20
2024-06,41
2024-07,24
2024-08,19
2024-09,17
2024-10,21
2024-11,26
2024-12,26
2025-01,17
2025-02,17
2025-03,16
2025-04,22
2025-05,29
2025-06,26
2025-07,34
2025-08,25
2025-09,18
2025-10,18
2025-11,18
