Month,V: 
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,2
2013-11,2
2013-12,2
2014-01,2
2014-02,2
2014-03,3
2014-04,3
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,4
2014-11,4
2014-12,6
2015-01,5
2015-02,5
2015-03,4
2015-04,4
2015-05,6
2015-06,6
2015-07,7
2015-08,7
2015-09,6
2015-10,6
2015-11,6
2015-12,10
2016-01,8
2016-02,9
2016-03,8
2016-04,9
2016-05,11
2016-06,12
2016-07,12
2016-08,11
2016-09,10
2016-10,13
2016-11,10
2016-12,18
2017-01,13
2017-02,14
2017-03,17
2017-04,18
2017-05,19
2017-06,21
2017-07,18
2017-08,17
2017-09,18
2017-10,21
2017-11,19
2017-12,37
2018-01,31
2018-02,30
2018-03,33
2018-04,28
2018-05,31
2018-06,31
2018-07,31
2018-08,28
2018-09,29
2018-10,29
2018-11,29
2018-12,41
2019-01,36
2019-02,34
2019-03,29
2019-04,32
2019-05,35
2019-06,36
2019-07,35
2019-08,36
2019-09,26
2019-10,25
2019-11,27
2019-12,42
2020-01,31
2020-02,31
2020-03,41
2020-04,46
2020-05,49
2020-06,50
2020-07,52
2020-08,54
2020-09,59
2020-10,55
2020-11,54
2020-12,76
2021-01,56
2021-02,51
2021-03,56
2021-04,57
2021-05,60
2021-06,66
2021-07,69
2021-08,66
2021-09,66
2021-10,71
2021-11,68
2021-12,100
2022-01,68
2022-02,69
2022-03,63
2022-04,81
2022-05,73
2022-06,72
2022-07,60
2022-08,62
2022-09,73
2022-10,53
2022-11,51
2022-12,64
2023-01,52
2023-02,48
2023-03,45
2023-04,48
2023-05,59
2023-06,44
2023-07,41
2023-08,53
2023-09,56
2023-10,49
2023-11,44
2023-12,60
2024-01,52
2024-02,54
2024-03,57
2024-04,52
2024-05,54
2024-06,52
2024-07,50
2024-08,51
2024-09,51
2024-10,52
2024-11,54
2024-12,56
2025-01,50
2025-02,50
2025-03,52
2025-04,55
2025-05,55
2025-06,57
2025-07,56
2025-08,57
2025-09,56
2025-10,54
2025-11,51
